r,señal,Analytic function
-241.5,0.032744,0.019558661146180104
-240.35,0.033541,0.023646112409939597
-239.2,0.034443,0.029086297513377986
-238.05,0.035512,0.03650177826349717
-236.9,0.037821,0.04687681345707297
-235.75,0.043901,0.06179091827763982
-234.6,0.061672,0.08376733527954128
-233.45,0.10007,0.11663108817033813
-232.3,0.15858,0.1652432464094079
-231.15,0.22966,0.2328584533861359
-230.0,0.30485,0.31505906224536184
-228.85,0.3835,0.39726147652089283
-227.7,0.45839,0.4648807067455669
-226.55,0.52697,0.5134963895377778
-225.4,0.57772,0.546361085587137
-224.25,0.60576,0.5683347969706743
-223.1,0.61709,0.5832421171615915
-221.95,0.62101,0.5936061563980254
-220.8,0.62264,0.6010064200022376
-219.65,0.624,0.6064272032092395
-218.5,0.62389,0.6104911197381391
-215.05,0.62496,0.6179403958808525
-211.6,0.62519,0.6217445843296618
-208.15,0.62576,0.6238720769876563
-204.7,0.62621,0.625120875776777
-201.25,0.62611,0.6258605780554184
-197.8,0.62621,0.6262806708274756
-194.35,0.62621,0.6264863700813617
-190.9,0.62634,0.62654
-187.45,0.62654,0.6264805257704044
-184.0,0.62576,0.6263334660578666
-180.55,0.62589,0.6261162332654852
-177.1,0.62587,0.6258411585408379
-173.65,0.62587,0.6255172799876091
-170.2,0.62563,0.6251514392933168
-166.75,0.62507,0.6247489760628625
-163.3,0.6248,0.6243141799315772
-159.85,0.62437,0.6238505923453326
-156.4,0.62424,0.6233612124922959
-152.95,0.62379,0.6228486406378256
-149.5,0.62322,0.6223151796861371
-146.05,0.62309,0.6217629083159885
-142.6,0.62242,0.6211937344273608
-139.15,0.62231,0.6206094347286822
-135.7,0.62218,0.6200116844227955
-132.25,0.62149,0.6194020797226182
-128.8,0.62138,0.6187821551087109
-125.35,0.62138,0.6181533966860286
-121.9,0.6208,0.6175172526154662
-118.45,0.62045,0.6168751413297295
-115.0,0.6201,0.6162284580552141
-111.55,0.61976,0.6155785800273772
-108.1,0.61941,0.6149268706901707
-104.65,0.61963,0.6142746830993869
-101.2,0.61915,0.6136233626976519
-97.75,0.61859,0.61297424959007
-94.3,0.61882,0.6123286804204582
-90.85,0.61859,0.6116879899261625
-87.4,0.61789,0.6110535122326963
-83.95,0.61765,0.610426581936623
-80.5,0.61741,0.6098085350151725
-77.05,0.61707,0.6092007095933746
-73.6,0.61672,0.6086044465934544
-70.15,0.6164,0.6080210902864845
-66.7,0.61581,0.6074519887625252
-63.25,0.61509,0.6068984943324965
-59.8,0.61477,0.6063619638726193
-56.35,0.6141,0.6058437591203502
-52.9,0.61269,0.6053452469291659
-49.45,0.6113,0.6048677994882959
-46.0,0.60957,0.6044127945124688
-42.55,0.60818,0.6039816154058907
-39.1,0.60735,0.6035756514039828
-35.65,0.60634,0.6031962976958222
-32.2,0.6061,0.6028449555297549
-28.75,0.6061,0.6025230323042531
-25.3,0.60541,0.6022319416457393
-21.85,0.60493,0.6019731034748323
-18.4,0.60458,0.6017479440622089
-14.95,0.60343,0.601557896075078
-11.5,0.6017,0.6014043986150782
-8.05,0.60125,0.6012888972482469
-4.6,0.60021,0.6012128440275714
-1.15,0.60028,0.6011776975084988
0.0,0.60028,0.6011753254140282
1.15,0.59997,0.6011776975084988
4.6,0.60076,0.6012128440275714
8.05,0.6017,0.6012888972482469
11.5,0.6025,0.6014043986150782
14.95,0.60319,0.601557896075078
18.4,0.60434,0.6017479440622089
21.85,0.60482,0.6019731034748323
25.3,0.60597,0.6022319416457393
28.75,0.60569,0.6025230323042531
32.2,0.60618,0.6028449555297549
35.65,0.60655,0.6031962976958222
39.1,0.60701,0.6035756514039828
42.55,0.60829,0.6039816154058907
46.0,0.61002,0.6044127945124688
49.45,0.61165,0.6048677994882959
52.9,0.61317,0.6053452469291659
56.35,0.6136,0.6058437591203502
59.8,0.61474,0.6063619638726193
63.25,0.61533,0.6068984943324965
66.7,0.61581,0.6074519887625252
70.15,0.61581,0.6080210902864845
73.6,0.61637,0.6086044465934544
77.05,0.61717,0.6092007095933746
80.5,0.61707,0.6098085350151725
83.95,0.61797,0.610426581936623
87.4,0.61832,0.6110535122326963
90.85,0.61843,0.6116879899261625
94.3,0.61856,0.6123286804204582
97.75,0.61888,0.61297424959007
101.2,0.61915,0.6136233626976519
104.65,0.61925,0.6142746830993869
108.1,0.6196,0.6149268706901707
111.55,0.6204,0.6155785800273772
115.0,0.62051,0.6162284580552141
118.45,0.62029,0.6168751413297295
121.9,0.62142,0.6175172526154662
125.35,0.62099,0.6181533966860286
128.8,0.62097,0.6187821551087109
132.25,0.62144,0.6194020797226182
135.7,0.6219,0.6200116844227955
139.15,0.62211,0.6206094347286822
142.6,0.62214,0.6211937344273608
146.05,0.62248,0.6217629083159885
149.5,0.62281,0.6223151796861371
152.95,0.62329,0.6228486406378256
156.4,0.62342,0.6233612124922959
159.85,0.62422,0.6238505923453326
163.3,0.62457,0.6243141799315772
166.75,0.62457,0.6247489760628625
170.2,0.62502,0.6251514392933168
173.65,0.62513,0.6255172799876091
177.1,0.62524,0.6258411585408379
180.55,0.62502,0.6261162332654852
184.0,0.62537,0.6263334660578666
187.45,0.62561,0.6264805257704044
190.9,0.62604,0.62654
194.35,0.62615,0.6264863700813617
197.8,0.62537,0.6262806708274756
201.25,0.62513,0.6258605780554184
204.7,0.62491,0.625120875776777
208.15,0.62489,0.6238720769876563
211.6,0.62478,0.6217445843296618
215.05,0.6242,0.6179403958808525
218.5,0.62227,0.6104911197381391
219.65,0.6219,0.6064272032092395
220.8,0.62153,0.6010064200022376
221.95,0.61982,0.5936061563980254
223.1,0.61416,0.5832421171615915
224.25,0.5983,0.5683347969706743
225.4,0.56161,0.546361085587137
226.55,0.50512,0.5134963895377778
227.7,0.43388,0.4648807067455669
228.85,0.35849,0.39726147652089283
230.0,0.28103,0.31505906224536184
231.15,0.20444,0.2328584533861359
232.3,0.13625,0.1652432464094079
233.45,0.084382,0.11663108817033813
234.6,0.054754,0.08376733527954128
235.75,0.041915,0.06179091827763982
236.9,0.037398,0.04687681345707297
238.05,0.0356,0.03650177826349717
239.2,0.034611,0.029086297513377986
240.35,0.033796,0.023646112409939597
