,r,señal,FFF,Area,In,Z
0,70.0,0.066602,0,25,0,100
1,68.0,0.06943099999999999,0,25,0,100
2,65.0,0.07436,0,25,0,100
3,62.0,0.08011599999999999,0,25,0,100
4,59.0,0.08683099999999999,0,25,0,100
5,56.0,0.094503,0,25,0,100
6,53.0,0.10525999999999999,0,25,0,100
7,50.0,0.1177,0,25,0,100
8,47.0,0.13327,0,25,0,100
9,44.0,0.15169000000000002,0,25,0,100
10,41.0,0.17052,0,25,0,100
11,38.0,0.19084,0,25,0,100
12,35.0,0.22533000000000003,0,25,0,100
13,34.0,0.29247,0,25,0,100
14,33.0,0.44916000000000006,0,25,0,100
15,32.0,0.73831,0,25,0,100
16,31.0,1.1016,0,25,0,100
17,30.0,1.4552,0,25,0,100
18,29.0,1.7628,0,25,0,100
19,28.0,2.0626,0,25,0,100
20,27.0,2.3386,0,25,0,100
21,26.0,2.5855,0,25,0,100
22,25.0,2.7917,0,25,0,100
23,24.0,2.9538,0,25,0,100
24,23.0,3.0265,0,25,0,100
25,22.0,3.05,0,25,0,100
26,21.0,3.0563,0,25,0,100
27,20.0,3.0577,0,25,0,100
28,19.0,3.0553,0,25,0,100
29,18.0,3.0592,0,25,0,100
30,17.0,3.0553,0,25,0,100
31,16.0,3.0543,0,25,0,100
32,15.0,3.0567,0,25,0,100
33,12.0,3.0583,0,25,0,100
34,9.0,3.0592,0,25,0,100
35,6.0,3.0524,0,25,0,100
36,3.0,3.0558,0,25,0,100
37,0.0,3.0528,0,25,0,100
38,3.0,3.0621,0,25,0,100
39,6.0,3.0519,0,25,0,100
40,9.0,3.0537,0,25,0,100
41,12.0,3.0533,0,25,0,100
42,15.0,3.0413,0,25,0,100
43,16.0,3.0134,0,25,0,100
44,17.0,2.9344,0,25,0,100
45,18.0,2.7756,0,25,0,100
46,19.0,2.569,0,25,0,100
47,20.0,2.3431,0,25,0,100
48,21.0,2.0835,0,25,0,100
49,22.0,1.7608,0,25,0,100
50,23.0,1.4406,0,25,0,100
51,24.0,1.067,0,25,0,100
52,25.0,0.65549,0,25,0,100
53,26.0,0.35153,0,25,0,100
54,27.0,0.24245,0,25,0,100
55,28.0,0.21043,0,25,0,100
56,29.0,0.20048,0,25,0,100
57,30.0,0.19139,0,25,0,100
58,31.0,0.18487,0,25,0,100
59,32.0,0.17782,0,25,0,100
60,33.0,0.17105,0,25,0,100
61,34.0,0.1642,0,25,0,100
62,35.0,0.15782000000000002,0,25,0,100
63,38.0,0.13856,0,25,0,100
64,41.0,0.1213,0,25,0,100
65,44.0,0.10702,0,25,0,100
66,47.0,0.096558,0,25,0,100
67,50.0,0.086998,0,25,0,100
68,53.0,0.08030599999999999,0,25,0,100
69,56.0,0.07357899999999999,0,25,0,100
70,59.0,0.067845,0,25,0,100
71,62.0,0.063037,0,25,0,100
72,65.0,0.060057000000000006,0,25,0,100
73,68.0,0.056351,0,25,0,100
74,70.0,0.055396,0,25,0,100
75,70.0,0.0087912,1,25,0,100
76,68.0,0.0089247,1,25,0,100
77,65.0,0.0092579,1,25,0,100
78,62.0,0.0096421,1,25,0,100
79,59.0,0.010234,1,25,0,100
80,56.0,0.010948999999999999,1,25,0,100
81,53.0,0.011807999999999999,1,25,0,100
82,50.0,0.013138999999999998,1,25,0,100
83,47.0,0.015036,1,25,0,100
84,44.0,0.017385,1,25,0,100
85,41.0,0.019869,1,25,0,100
86,38.0,0.02292,1,25,0,100
87,35.0,0.032164,1,25,0,100
88,34.0,0.053947,1,25,0,100
89,33.0,0.11585,1,25,0,100
90,32.0,0.27804,1,25,0,100
91,31.0,0.54971,1,25,0,100
92,30.0,0.8801200000000001,1,25,0,100
93,29.0,1.207,1,25,0,100
94,28.0,1.5664,1,25,0,100
95,27.0,1.9179,1,25,0,100
96,26.0,2.2602,1,25,0,100
97,25.0,2.5821,1,25,0,100
98,24.0,2.8266,1,25,0,100
99,23.0,2.9393,1,25,0,100
100,22.0,2.9817,1,25,0,100
101,21.0,2.9854,1,25,0,100
102,20.0,2.9971,1,25,0,100
103,19.0,3.0029,1,25,0,100
104,18.0,3.0117,1,25,0,100
105,17.0,3.0191,1,25,0,100
106,16.0,3.0264,1,25,0,100
107,15.0,3.0242,1,25,0,100
108,12.0,3.0418,1,25,0,100
109,9.0,3.0514,1,25,0,100
110,6.0,3.0581,1,25,0,100
111,3.0,3.0566,1,25,0,100
112,0.0,3.0551,1,25,0,100
113,3.0,3.0478,1,25,0,100
114,6.0,3.0411,1,25,0,100
115,9.0,3.0257,1,25,0,100
116,12.0,3.011,1,25,0,100
117,15.0,2.9802,1,25,0,100
118,16.0,2.9485,1,25,0,100
119,17.0,2.8607,1,25,0,100
120,18.0,2.6411,1,25,0,100
121,19.0,2.3211,1,25,0,100
122,20.0,1.9736,1,25,0,100
123,21.0,1.6396,1,25,0,100
124,22.0,1.2662,1,25,0,100
125,23.0,0.92485,1,25,0,100
126,24.0,0.58986,1,25,0,100
127,25.0,0.28414,1,25,0,100
128,26.0,0.098898,1,25,0,100
129,27.0,0.043726999999999995,1,25,0,100
130,28.0,0.029412,1,25,0,100
131,29.0,0.025660000000000002,1,25,0,100
132,30.0,0.023659,1,25,0,100
133,31.0,0.022353,1,25,0,100
134,32.0,0.021144999999999997,1,25,0,100
135,33.0,0.020087999999999998,1,25,0,100
136,34.0,0.019208000000000003,1,25,0,100
137,35.0,0.018182,1,25,0,100
138,38.0,0.015565,1,25,0,100
139,41.0,0.013373,1,25,0,100
140,44.0,0.011739,1,25,0,100
141,47.0,0.010695999999999999,1,25,0,100
142,50.0,0.009985299999999999,1,25,0,100
143,53.0,0.009391,1,25,0,100
144,56.0,0.009090899999999999,1,25,0,100
145,59.0,0.008657399999999999,1,25,0,100
146,62.0,0.0085044,1,25,0,100
147,65.0,0.0081931,1,25,0,100
148,68.0,0.008064499999999999,1,25,0,100
149,70.0,0.007765600000000001,1,25,0,100
150,95.0,0.010471,0,100,0,100
151,93.0,0.010999,0,100,0,100
152,90.0,0.011954000000000001,0,100,0,100
153,87.0,0.013004,0,100,0,100
154,84.0,0.014263999999999999,0,100,0,100
155,81.0,0.015913,0,100,0,100
156,78.0,0.017644999999999997,0,100,0,100
157,75.0,0.019955,0,100,0,100
158,72.0,0.022422,0,100,0,100
159,69.0,0.02543,0,100,0,100
160,66.0,0.028464999999999997,0,100,0,100
161,63.0,0.031827,0,100,0,100
162,60.0,0.038564999999999995,0,100,0,100
163,59.0,0.049589,0,100,0,100
164,58.0,0.08064299999999999,0,100,0,100
165,57.0,0.15174,0,100,0,100
166,56.0,0.26118,0,100,0,100
167,55.0,0.37772,0,100,0,100
168,54.0,0.50015,0,100,0,100
169,53.0,0.6258699999999999,0,100,0,100
170,52.0,0.7529,0,100,0,100
171,51.0,0.87061,0,100,0,100
172,50.0,0.98244,0,100,0,100
173,49.0,1.0598,0,100,0,100
174,48.0,1.0898,0,100,0,100
175,47.0,1.0987,0,100,0,100
