,r,señal,FFF,Limit,In,Z,Big Z,xpos,xneg,ypos,yneg,Rho,delta0 = 0.001 h0 = 228.57142857142858 h1 = -2714.2857142857138 h2 = 37142.857142857145 h3 = -900000.0 h4 = 800000.0
0,-70.0,0.066602,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,35.02136752136752,-24.40883190883191,0.7,-1.0485914228433217e-06
1,-68.0,0.06943099999999999,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,34.17236467236467,-23.55982905982906,0.68,-1.0527226404674996e-06
2,-65.0,0.07436,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,32.8988603988604,-22.286324786324787,0.65,-1.0597037327630706e-06
3,-62.0,0.08011599999999999,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,31.625356125356124,-21.012820512820515,0.62,-1.0678078530527926e-06
4,-59.0,0.08683099999999999,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,30.35185185185185,-19.73931623931624,0.59,-1.0772956944699297e-06
5,-56.0,0.094503,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,29.07834757834758,-18.465811965811966,0.56,-1.0885084618372446e-06
6,-53.0,0.10525999999999999,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,27.804843304843306,-17.192307692307693,0.53,-1.1019030619747604e-06
7,-50.0,0.1177,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,26.53133903133903,-15.918803418803419,0.5,-1.1181022549603933e-06
8,-47.0,0.13327,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,25.257834757834758,-14.645299145299145,0.47,-1.1379744348687705e-06
9,-44.0,0.15169000000000002,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,23.984330484330485,-13.371794871794872,0.44,-1.1627648534347655e-06
10,-41.0,0.17052,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,22.710826210826212,-12.098290598290598,0.41,-1.1943150546618568e-06
11,-38.0,0.19084,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,21.437321937321936,-10.824786324786325,0.38,-1.235456150757907e-06
12,-35.0,0.22533000000000003,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,20.163817663817664,-9.551282051282051,0.35,-1.2907498105578161e-06
13,-34.0,0.29247,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,19.73931623931624,-9.126780626780628,0.34,-1.313532749112402e-06
14,-33.0,0.44916000000000006,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,19.314814814814813,-8.702279202279202,0.33,-1.339113757123939e-06
15,-32.0,0.73831,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,18.89031339031339,-8.277777777777779,0.32,-1.3679965322082367e-06
16,-31.0,1.1016,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,18.465811965811966,-7.853276353276353,0.31,-1.4008087495254737e-06
17,-30.0,1.4552,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,18.04131054131054,-7.428774928774929,0.3,-1.4383415698947355e-06
18,-29.0,1.7628,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,17.616809116809115,-7.004273504273504,0.29,-1.481605267301987e-06
19,-28.0,2.0626,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,17.192307692307693,-6.57977207977208,0.28,-1.531909118669854e-06
20,-27.0,2.3386,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,16.767806267806268,-6.155270655270655,0.27,-1.5909783054576488e-06
21,-26.0,2.5855,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,16.343304843304843,-5.730769230769231,0.26,-1.6611286811024055e-06
22,-25.0,2.7917,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,15.918803418803419,-5.306267806267806,0.25,-1.7455371166565067e-06
23,-24.0,2.9538,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,15.494301994301994,-4.881766381766382,0.24,-1.8486712912375103e-06
24,-23.0,3.0265,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,15.06980056980057,-4.457264957264957,0.23,-1.976999784565925e-06
25,-22.0,3.05,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,14.645299145299145,-4.032763532763533,0.22,-2.140217294906282e-06
26,-21.0,3.0563,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,14.220797720797721,-3.6082621082621085,0.21,-2.3534697811197632e-06
27,-20.0,3.0577,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,13.796296296296296,-3.1837606837606836,0.2,-2.6416563065325573e-06
28,-19.0,3.0553,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,13.371794871794872,-2.759259259259259,0.19,-3.0484119852455846e-06
29,-18.0,3.0592,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,12.947293447293447,-2.3347578347578346,0.18,-3.65679798401458e-06
30,-17.0,3.0553,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,12.522792022792023,-1.9102564102564104,0.17,-4.643535967920309e-06
31,-16.0,3.0543,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,12.098290598290598,-1.4857549857549857,0.16,-6.44919466861812e-06
32,-15.0,3.0567,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,11.673789173789174,-1.0612535612535612,0.15,-1.0479070623835594e-05
33,-12.0,3.0583,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,10.4002849002849,0.21225071225071226,0.12,-24.266290880171685
34,-9.0,3.0592,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,9.126780626780628,1.4857549857549857,0.09,-10.112039967531611
35,-6.0,3.0524,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,7.853276353276353,2.759259259259259,0.06,-2.8435733457557424
36,-3.0,3.0558,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,6.57977207977208,4.032763532763533,0.03,-0.16571692888567538
37,0.0,3.0528,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,5.306267806267806,5.306267806267806,0.0,0.21683399494014602
38,3.0,3.0621,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,4.032763532763533,6.57977207977208,0.03,-0.16571692888567538
39,6.0,3.0519,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,2.759259259259259,4.82404181184669,0.06,-2.843573326734414
40,9.0,3.0537,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,1.4857549857549857,2.597560975609756,0.09,-10.112039623211968
41,12.0,3.0533,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,0.21225071225071226,0.3710801393728223,0.12,-24.266246879956725
42,15.0,3.0413,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-1.8554006968641115,-1.8554006968641115,0.15,47.60202548494699
43,16.0,3.0134,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-2.597560975609756,-2.597560975609756,0.16,57.81755483214191
44,17.0,2.9344,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-3.3397212543554007,-3.3397212543554007,0.17,69.39326381232821
45,18.0,2.7756,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-4.081881533101045,-4.081881533101045,0.18,82.41416466308803
46,19.0,2.569,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-4.82404181184669,-4.82404181184669,0.19,96.96526899075617
47,20.0,2.3431,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-5.566202090592334,-5.566202090592334,0.2,113.13158822902383
48,21.0,2.0835,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-6.308362369337979,-6.308362369337979,0.21,130.99813375029694
49,22.0,1.7608,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-7.050522648083624,-7.050522648083624,0.22,150.649916901182
50,23.0,1.4406,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-7.7926829268292686,-7.7926829268292686,0.23,172.1719490160246
51,24.0,1.067,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-8.534843205574912,-8.534843205574912,0.24,195.6492414227884
52,25.0,0.65549,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-9.277003484320558,-9.277003484320558,0.25,221.16680544586828
53,26.0,0.35153,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-10.019163763066203,-10.019163763066203,0.26,248.80965240754708
54,27.0,0.24245,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-10.761324041811847,-10.761324041811847,0.27,278.66279362879914
55,28.0,0.21043,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-11.503484320557492,-11.503484320557492,0.28,310.8112404297506
56,29.0,0.20048,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-12.245644599303136,-12.245644599303136,0.29,345.3400041299663
57,30.0,0.19139,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-12.987804878048781,-12.987804878048781,0.3,382.3340960486221
58,31.0,0.18487,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-13.729965156794425,-13.729965156794425,0.31,421.87852750462326
59,32.0,0.17782,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-14.47212543554007,-14.47212543554007,0.32,464.0583098166745
60,33.0,0.17105,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-15.214285714285714,-15.214285714285714,0.33,508.95845430334293
61,34.0,0.1642,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-15.956445993031359,-15.956445993031359,0.34,556.6639722830834
62,35.0,0.15782000000000002,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-16.698606271777003,-16.698606271777003,0.35,607.2598750742707
63,38.0,0.13856,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-18.925087108013937,-18.925087108013937,0.38,777.2400054994056
64,41.0,0.1213,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-21.15156794425087,-21.15156794425087,0.41,976.2940066843775
65,44.0,0.10702,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-23.378048780487806,-23.378048780487806,0.44,1206.7171842193507
66,47.0,0.096558,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-25.60452961672474,-25.60452961672474,0.47,1470.8048436933318
